日期,股票代码,名称,涨跌额,收盘价,总市值
2022/9/6,'600519,贵州茅台,10,1845,2.32E+12
2022/9/5,'600519,贵州茅台,-40,1835,2.31E+12
2022/9/2,'600519,贵州茅台,-5.89,1875,2.36E+12
2022/9/1,'600519,贵州茅台,-43.11,1880.89,2.36E+12
2022/8/31,'600519,贵州茅台,54,1924,2.42E+12
2022/8/30,'600519,贵州茅台,-8.82,1870,2.35E+12
2022/8/29,'600519,贵州茅台,-19.18,1878.82,2.36E+12
2022/8/26,'600519,贵州茅台,13,1898,2.38E+12
2022/8/25,'600519,贵州茅台,30.8,1885,2.37E+12
2022/8/24,'600519,贵州茅台,-15.81,1854.2,2.33E+12
2022/8/23,'600519,贵州茅台,-23.97,1870.01,2.35E+12
2022/8/22,'600519,贵州茅台,-1.03,1893.98,2.38E+12
2022/8/19,'600519,贵州茅台,-0.49,1895.01,2.38E+12
2022/8/18,'600519,贵州茅台,-22.5,1895.5,2.38E+12
2022/8/17,'600519,贵州茅台,0.16,1918,2.41E+12
2022/8/16,'600519,贵州茅台,-2.05,1917.84,2.41E+12
2022/8/15,'600519,贵州茅台,-8.11,1919.89,2.41E+12
2022/8/12,'600519,贵州茅台,21.1,1928,2.42E+12
2022/8/11,'600519,贵州茅台,30.9,1906.9,2.40E+12
2022/8/10,'600519,贵州茅台,-34,1876,2.36E+12
2022/8/9,'600519,贵州茅台,-1.53,1910,2.40E+12
2022/8/8,'600519,贵州茅台,-12.43,1911.53,2.40E+12
2022/8/5,'600519,贵州茅台,7.95,1923.96,2.42E+12
2022/8/4,'600519,贵州茅台,31.01,1916.01,2.41E+12
2022/8/3,'600519,贵州茅台,5.02,1885,2.37E+12
2022/8/2,'600519,贵州茅台,-10.32,1879.98,2.36E+12
2022/8/1,'600519,贵州茅台,-8.14,1890.3,2.37E+12
2022/7/29,'600519,贵州茅台,0.44,1898.44,2.38E+12
2022/7/28,'600519,贵州茅台,-21.6,1898,2.38E+12
2022/7/27,'600519,贵州茅台,-30.61,1919.6,2.41E+12
2022/7/26,'600519,贵州茅台,5.56,1950.21,2.45E+12
2022/7/25,'600519,贵州茅台,-2.35,1944.65,2.44E+12
2022/7/22,'600519,贵州茅台,8,1947,2.45E+12
2022/7/21,'600519,贵州茅台,-11.1,1939,2.44E+12
2022/7/20,'600519,贵州茅台,7,1950.1,2.45E+12
2022/7/19,'600519,贵州茅台,-8.56,1943.1,2.44E+12
2022/7/18,'600519,贵州茅台,2.16,1951.66,2.45E+12
2022/7/15,'600519,贵州茅台,-3.5,1949.5,2.45E+12
2022/7/14,'600519,贵州茅台,-5.89,1953,2.45E+12
2022/7/13,'600519,贵州茅台,10.48,1958.89,2.46E+12
2022/7/12,'600519,贵州茅台,-15.19,1948.41,2.45E+12
2022/7/11,'600519,贵州茅台,-35.4,1963.6,2.47E+12
2022/7/8,'600519,贵州茅台,9,1999,2.51E+12
2022/7/7,'600519,贵州茅台,-12,1990,2.50E+12
2022/7/6,'600519,贵州茅台,-31.01,2002,2.51E+12
2022/7/5,'600519,贵州茅台,15.01,2033.01,2.55E+12
2022/7/4,'600519,贵州茅台,-11.05,2018,2.54E+12
2022/7/1,'600519,贵州茅台,-15.95,2029.05,2.55E+12
2022/6/30,'600519,XD贵州茅,36.67,2045,2.57E+12
2022/6/29,'600519,贵州茅台,-6,2030,2.55E+12
2022/6/28,'600519,贵州茅台,25.45,2036,2.56E+12
2022/6/27,'600519,贵州茅台,1.54,2010.55,2.53E+12
2022/6/24,'600519,贵州茅台,51.91,2009.01,2.52E+12
2022/6/23,'600519,贵州茅台,21.1,1957.1,2.46E+12
2022/6/22,'600519,贵州茅台,-9.74,1936,2.43E+12
2022/6/21,'600519,贵州茅台,3.72,1945.74,2.44E+12
2022/6/20,'600519,贵州茅台,-8.98,1942.02,2.44E+12
2022/6/17,'600519,贵州茅台,74,1951,2.45E+12
2022/6/16,'600519,贵州茅台,1.9,1877,2.36E+12
2022/6/15,'600519,贵州茅台,4.1,1875.1,2.36E+12
2022/6/14,'600519,贵州茅台,15,1871,2.35E+12
2022/6/13,'600519,贵州茅台,-44.6,1856,2.33E+12
