数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,贸易方式编码,贸易方式名称,注册地编码,注册地名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
202001,1012900,"其他马,改良种用除外",309,荷兰,10,一般贸易,11,北京市,15920,千克,71,头,"4,044,026"
202001,1012900,"其他马,改良种用除外",609,新西兰,10,一般贸易,11,北京市,7200,千克,18,头,"4,475,464"
202001,1013090,"其他驴,改良种用除外",146,吉尔吉斯斯坦,19,边境小额贸易,65,新疆维吾尔自治区,113580,千克,1000,头,"849,983"
202001,1022100,改良种用家牛,601,澳大利亚,10,一般贸易,11,北京市,793535,千克,2693,头,"33,913,450"
202001,1022100,改良种用家牛,609,新西兰,10,一般贸易,11,北京市,472500,千克,1750,头,"26,266,000"
202001,1022900,"其他家牛,改良种用除外",601,澳大利亚,10,一般贸易,11,北京市,6025925,千克,20716,头,"235,871,422"
202001,1022900,"其他家牛,改良种用除外",609,新西兰,10,一般贸易,11,北京市,1336500,千克,4950,头,"55,370,330"
202001,1031000,改良种用猪,302,丹麦,10,一般贸易,11,北京市,45000,千克,1000,头,"13,336,835"
202001,1031000,改良种用猪,305,法国,10,一般贸易,11,北京市,69750,千克,1395,头,"15,763,133"
202001,1051110,"改良种用鸡,改良种用除外,重量≤185g",609,新西兰,10,一般贸易,11,北京市,1556,千克,33280,只,"5,106,528"
202001,1061110,改良种用灵长目动物,136,泰国,10,一般贸易,35,福建省,472,千克,78,只,"164,219"
202001,1061110,改良种用灵长目动物,344,俄罗斯,10,一般贸易,12,天津市,16,千克,2,只,"139,938"
202001,1061190,"其他灵长目动物,改良种用除外",135,叙利亚,10,一般贸易,12,天津市,200,千克,147,只,"519,323"
202001,1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,116,日本,10,一般贸易,44,广东省,581,千克,4,只,"2,386,394"
202001,1061490,"其他家兔及野兔,改良种用除外",502,美国,10,一般贸易,44,广东省,80,千克,40,只,"167,933"
202001,1061910,其他改良种用哺乳动物,136,泰国,10,一般贸易,21,辽宁省,500,千克,10,只,"769,659"
202001,1061910,其他改良种用哺乳动物,244,南非,10,一般贸易,11,北京市,130,千克,11,只,"2,693,807"
202001,1061910,其他改良种用哺乳动物,302,丹麦,10,一般贸易,23,黑龙江省,24602,千克,9929,只,"5,877,707"
